"Date";"Comp1";"Comp2"
38146;70;106,5
38147;69,5;107
38148;69,75;107
38149;70,25;109
38152;70,5;107,5
38153;72,75;108
38154;73;107
38155;72;106,5
38156;72,5;107
38159;72,5;107,5
38160;71,5;105,5
38161;72,5;106,5
38162;72,5;107,5
38166;73;107,5
38167;72,75;106
38168;72,5;108
38169;75;110
38170;74,5;109
38173;74,25;108,5
38174;74,25;106
38175;74,75;105
38176;75,25;106,5
38177;76,5;108
38180;76,75;106,5
38181;76,75;106
38182;76,5;105
38183;75,75;91,5
38184;76;90,5
38187;75,75;89
38188;75,75;90,75
38189;83,5;91,5
38190;82,5;88,75
38191;82,5;89,5
38194;81,75;88
38195;82,5;89
38196;81,75;86,5
38197;80;88,5
38198;79,5;88,25
38201;80,75;87,75
38202;81;88,25
38203;79,5;87
38204;81;87,25
38205;80;84,25
38208;79;83,75
38209;78,5;84,75
38210;78,25;84
38211;78;83,25
38212;77,75;82,75
38215;76,75;86
38216;77,75;86,75
38217;77,75;87,25
38218;77,5;88
38219;77,5;87,25
38222;77,75;88,5
38223;78,25;88
38224;78,25;88,5
38225;78,5;89,25
38226;77,75;89,5
38229;78,5;89
38230;79,25;88,25
38231;81;88,75
38232;80,5;91,5
38233;80,5;93
38236;80,5;94
38237;79,5;94,5
38238;79;95,5
38239;78,5;101,5
38240;78,75;101
38243;79,75;103,5
38244;79,5;102
38245;79;102,5
38246;79,25;103
38247;79,25;104
38250;78,25;104
38251;78,25;104
38252;78,25;102,5
38253;77,5;101,5
38254;79,25;101,5
38257;80;100,5
38258;79,75;99,5
38259;81,75;100,5
38260;81,75;100,5
38261;82;103,5
38264;81,5;106
38265;81,25;105,5
38266;80,5;105
38267;79,75;105,5
38268;79,75;103,5
38271;79,5;102
38272;79;100,5
38273;79;103,5
38274;78;105
38275;77,25;107,5
38278;76,25;106,5
38279;77;110
38280;76;107,5
38281;81;107,5
38282;83,5;108,5
38285;84;105
38286;81,25;104,5
38287;78,5;107
38288;80,75;109
38289;80,25;109,5
38292;81,25;110,5
38293;83;112
38294;84;112
38295;84,25;111
38296;84,75;114
38299;85,25;112,5
38300;86;113,5
38301;87;114,5
38302;88,5;116
38303;89;114,5
38306;88,75;114
38307;88;112,5
38308;87,5;115
38309;87,5;115,5
38310;87;113
38313;86,75;112,5
38314;86,5;110,5
38315;84,25;110,5
38316;85,5;110,5
38317;85,25;111
38320;85;110,5
38321;84,5;109,5
38322;83,5;110,5
38323;85,5;113
38324;87;109,5
38327;89,5;108
38328;95;109
38329;92,75;108,5
38330;93,75;106,5
38331;93,75;106,5
38334;92,5;104,5
38335;92;105
38336;90,75;105
38337;95;103,5
38338;95,75;101
38341;93,5;101,5
38342;93,5;104
38343;93,5;106
38344;97;106,5
38348;94;104,5
