t,S,I,R
20.3598538776262,275348.920494646,2971156.01344927,7081085.06605608
20.7517059670505,238895.599944266,2728525.50335943,7360168.8966963
21.1435580564747,209678.742214938,2501664.32169918,7616246.93608588
21.7487464949125,175066.203953911,2182412.68359462,7970111.11245147
22.3539349333503,149674.992502269,1899456.68796339,8278458.31953434
22.9591233717881,130676.634158217,1650321.14163245,8546592.22420933
23.5643118102259,116104.015716429,1432085.61541612,8779400.36886745
23.9232338576695,109047.240348445,1315920.16134104,8902622.59831051
24.282155905113,102943.668082846,1208814.62757065,9015831.70434651
24.6410779525565,97639.7885104064,1110140.63051178,9119809.58097781
25,93009.6032708356,1019291.685799,9215288.71093016
