CO2ConcRCP45,CH4Conc,N2OConc
537.39855,1583.2279,371.65898
537.87136,1579.7777,371.96801
538.3583,1576.3458,372.27383
538.8715,1572.9651,372.57648
539.38819,1569.8136,372.87385
539.88381,1567.0533,373.16386
540.35213,1564.6447,373.44653
540.78203,1562.5289,373.72189
541.16804,1560.6601,373.98999
541.50962,1559.0055,374.25087
541.80769,1557.5365,374.50461
542.05261,1556.1674,374.75127
542.24555,1554.8445,374.9909
542.40767,1553.6041,375.22359
542.55941,1552.4713,375.44938
542.71221,1551.4648,375.66834
542.86612,1550.6065,375.88053
543.01262,1549.8852,376.08601
543.13926,1549.2673,376.28485
543.23925,1548.7291,376.4771
543.31105,1548.2571,376.66283
543.35475,1547.84,376.84209
543.35993,1547.4073,377.01495
543.32712,1546.9191,377.18145
543.28815,1546.423,377.34167
543.26597,1545.9542,377.49566
543.26382,1545.5401,377.64347
543.28162,1545.2106,377.78516
543.31031,1544.9617,377.92079
543.337,1544.7657,378.05041
543.35452,1544.6047,378.17408
543.36102,1544.4702,378.29185
543.35628,1544.3551,378.40378
543.32954,1544.1928,378.50991
543.28277,1543.947,378.61031
543.23814,1543.6681,378.70503
543.20814,1543.3938,378.79411
543.19691,1543.1543,378.87762
543.20476,1542.9814,378.95559
543.22301,1542.8731,379.02809
543.23901,1542.8037,379.09516
543.2458,1542.7566,379.15685
543.24169,1542.7249,379.21322
543.22663,1542.7027,379.2643
543.18977,1542.6246,379.31015
543.13128,1542.4553,379.35082
543.07193,1542.2462,379.38635
543.02451,1542.0358,379.4168
542.9934,1541.8547,379.4422
542.97911,1541.7355,379.4626
542.97309,1541.6766,379.47806
542.96279,1541.6527,379.48861
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
542.95532,1541.6471,379.49266
