totRadForcExclCO2AndAerosols,CO2RadForc,totRadForcAerosols
-0.797080872,0.1271662,-0.065149588
-0.182349169,0.12433524,-0.066793151
0.193958939,0.12244727,-0.067226829
0.30957468,0.12197515,-0.06804864
0.290781286,0.12197515,-0.069251536
0.267335976,0.12244727,-0.070443016
0.267729314,0.12386337,-0.071619434
0.240486098,0.12575101,-0.072785088
0.234404641,0.12810952,-0.073936271
0.283643618,0.13140969,-0.076219158
0.334607869,0.13470811,-0.077724999
0.371155547,0.13753359,-0.078830357
0.398394488,0.14082795,-0.080304988
0.382637532,0.14412058,-0.081760072
0.342661444,0.14694109,-0.084206384
0.334194749,0.14976013,-0.085329759
0.338274987,0.15210829,-0.089862367
0.333926336,0.15445521,-0.094906246
0.325079597,0.15727029,-0.098208447
0.184135622,0.16008389,-0.101393282
-0.270701965,0.162896,-0.103266545
-0.504879886,0.16570665,-0.105317054
-0.159822708,0.16898372,-0.105997353
0.197818888,0.17225908,-0.107968928
0.332032465,0.17506481,-0.116387795
0.308787805,0.17786907,-0.128866385
0.206705041,0.18020493,-0.128795571
0.206849986,0.18253957,-0.125485166
0.278889867,0.18533992,-0.127995847
0.315133894,0.18767253,-0.132042374
0.325931334,0.1895378,-0.140424334
0.33742729,0.19140242,-0.14928997
0.363518892,0.19373219,-0.152486062
0.395412426,0.19652669,-0.151234006
0.422015857,0.19931973,-0.151466987
0.426645026,0.2025763,-0.160402206
0.395538269,0.20629582,-0.179061449
0.35406617,0.21047702,-0.1947542
0.336504589,0.21558294,-0.198352789
0.309899989,0.22114773,-0.198586719
0.259123863,0.22716948,-0.197983873
0.252376955,0.23410923,-0.193504655
0.284053268,0.24150205,-0.191345908
0.314109429,0.24934541,-0.195208839
0.349503923,0.25809794,-0.207646903
0.377269521,0.26729609,-0.215360381
0.278831575,0.27602009,-0.215031415
-0.629717546,0.28427149,-0.218087204
-1.373927045,0.29251018,-0.220358535
-0.800080887,0.29982345,-0.218681403
-0.323770859,0.30575788,-0.217795601
-0.207057768,0.31077419,-0.220931602
-0.100691462,0.31487495,-0.230782424
-0.167355374,0.31851727,-0.235671466
-0.206323788,0.32170241,-0.238864492
